Lens,Severity,File,Line,Description,Suggested Fix
Behaviour Preservation,major,src/readiness_engine/classifier.py,317,classify_risk() returns only RiskLevel; the Seam 1 interface contract (spec.md §1.2 and tasks.md) requires three fields: risk_level / critical_active / rationale. The rationale field is never produced by any code in this module.,Return a named tuple or dataclass from classify_risk() bundling risk_level + critical_active + rationale; or record the rationale deferral explicitly in tasks.md so Seam 1 is not misleading for T2/T3 implementors.
Behaviour Preservation,minor,src/readiness_engine/classifier.py,228,"Comment reads: 'Priority order: later entries override earlier. Highest priority = first evaluated.' These two sub-clauses contradict each other. The first sub-clause is incorrect — the loop returns the FIRST match, making DIAGNOSIS (index 0) the highest priority, not the last entry.","Replace with a single unambiguous statement: 'Evaluation order: DIAGNOSIS first (highest priority), READINESS last (lowest). The first type with any signal match is returned.'"
Behaviour Preservation,nit,src/readiness_engine/__init__.py,30,__spec_version__ = '1.0.0' does not match the current specification version. The spec header reads 'Spec version: 1.0.1' (amended by AUDIT-ODA-01 and AUDIT-ODA-02 incorporations).,Update to __spec_version__ = '1.0.1'. Update to '1.1.0' when spec v1.1.0 is issued after the T6 approval gate.
Hidden Assumptions,major,src/readiness_engine/validator.py,197,"validate_cost_cap() uses monthly_total (cloud_rent + ai_meter = $16,500) as 'baseline' for the 120% hard cap rule. The reference artefact (artefacts/800-wide/05-cost-estimate.md) and CLAUDE.md define 'baseline' as the AI meter alone ($15,000). The validator would reject the reference artefact's $18,000 cap as non-compliant (minimum required would be $19,800 under the validator's logic).",Add a traceability comment documenting the explicit baseline definition used. Raise the ambiguity with the product owner for resolution before spec v1.1.0 is issued. The reference artefact and the validator are currently inconsistent.
Hidden Assumptions,major,src/readiness_engine/classifier.py,467,"A Finding with risk_level=CRITICAL but a plain category (e.g. 'removed') silently produces RiskLevel.LOW. Priority 3 checks risk_level == HIGH specifically; a CRITICAL risk_level on a non-special category is not matched by Priority 1, 2, 3, or 4 and falls to Priority 5 (LOW). No runtime guard enforces that only CATEGORY_WRITE_COMMAND and CATEGORY_PDB_REPLICA_VIOLATION should produce CRITICAL outcomes.",Add a runtime assertion in classify_risk() that raises if risk_level == RiskLevel.CRITICAL and category is neither CATEGORY_WRITE_COMMAND nor CATEGORY_PDB_REPLICA_VIOLATION; or document this constraint explicitly in Finding's docstring as a class invariant.
Hidden Assumptions,minor,src/readiness_engine/validator.py,128,"validate_audit_checklist_completeness() silently skips non-dict items via 'if not isinstance(item, dict): continue'. A list of 12 non-dict items passes the count check (len == 12) and returns passed=True without performing any ordering checks. The function name implies structural validation but accepts structurally invalid input without error.",Either fail explicitly when non-dict items are encountered or document the permissive behaviour as an explicit design decision with its intended use case.
Hidden Assumptions,nit,src/readiness_engine/models.py,408,"The ReadinessReport.artefact_reference docstring example wraps across a line and renders as 'artefacts/ 800-wide/ 01-06' with spurious spaces after the slashes. This is a docstring rendering artefact that could confuse implementors reading generated API documentation.",Rewrite the example as a single-line string: '\"artefacts/800-wide/01-06\"'.
Specification / ADR Drift,major,src/readiness_engine/classifier.py,317,"classify_risk() emits only risk_level. The specification interface contract (spec.md §1.2 Step 6) and Seam 1 (tasks.md) define risk_level + critical_active + rationale. The omission of rationale is documented in a docstring but not in a decision log or task update, leaving Seam 1's contract misleading for downstream T2/T3 implementors.",Record the scope decision ('rationale deferred to future task') as an explicit update to tasks.md Seam 1 so the contract accurately reflects T1's deliverable scope.
Specification / ADR Drift,minor,src/readiness_engine/report.py,309,"report.ReadinessReport.verdict is typed as str with default ReadinessVerdict.NOT_READY.value. The domain model models.ReadinessReport.verdict is typed as ReadinessVerdict (the enum). The mutable output type uses a raw str, bypassing the controlled vocabulary enforced by the enum at construction time.",Change report.ReadinessReport.verdict to ReadinessVerdict type with default ReadinessVerdict.NOT_READY to align with the domain model and provide type-system enforcement of the controlled vocabulary.
Specification / ADR Drift,nit,src/readiness_engine/report.py,285,"Both models.py and report.py export a class named ReadinessReport. They are structurally different (one frozen immutable domain summary; one mutable full output dataclass). The name collision requires qualified imports and was not recorded with a rationale in the session log.",Rename one class to reduce ambiguity. For example rename models.ReadinessReport to ReadinessSummary or rename report.ReadinessReport to ReadinessOutputReport.
Independent Test Coverage,minor,tests/test_validator.py,303,"No test for the case where alert_threshold is missing from a cost report that has valid monthly_total and hard_cap. validator.py line 205 is uncovered by the test suite (confirmed by coverage report: Missing: 101, 128, 205).",Add test_missing_alert_threshold_fails to TestValidateCostCap: delete report['alert_threshold'] from a valid report dict and assert validate_cost_cap returns not passed.
Independent Test Coverage,minor,tests/test_validator.py,196,"No test for validate_audit_checklist_completeness() receiving a list containing non-dict items. validator.py line 128 is uncovered. The function's permissive behaviour (silently accepting non-dict items that pass the count check) is untested.",Add a test exercising a non-dict item in the checklist list to verify and document whether this is intended to pass or fail.
Independent Test Coverage,minor,tests/test_validator.py,154,"No test for validate_hypothesis_structure() receiving a confidence_pct value that is a non-numeric type (e.g. a string 'high'). validator.py line 101 is uncovered. Existing tests cover out-of-range numeric values and missing keys but not a non-numeric type.",Add test_non_numeric_confidence_pct_fails: set h['confidence_pct'] = 'high' and assert validate_hypothesis_structure returns not passed.
Independent Test Coverage,minor,tests/test_classifier.py,494,"No test documents the behaviour when a Finding has risk_level=CRITICAL with a plain non-special category. This produces RiskLevel.LOW (a silent downgrade) but is not covered by any test, leaving the hidden assumption in Finding 2.2 undiscoverable from the test suite alone.",Add a test explicitly naming the Finding(category='removed' risk_level=CRITICAL) -> LOW behaviour so the constraint is visible and intentional in the test suite.
Independent Test Coverage,minor,tests/test_parser.py,93,"All audit parser tests use manifests with 'kind: Deployment' (the first kind in the detection loop). No test covers kind: Service or a manifest with no recognised kind. parser.py has two branch misses (181->193: no-kind-match path; 189->181: loop-continues-past-first-kind path) confirmed by the coverage report.",Add two tests to TestParseAuditInput: one with 'kind: Service' to verify non-Deployment kind detection; one with no 'kind:' key to verify input_kind == UNKNOWN.
Edge Cases,minor,src/readiness_engine/classifier.py,163,"The pattern r'\bWarning\s+\w+\b' matches any English sentence containing 'Warning' followed by whitespace and a word. Advisory prose such as 'Warning about PDB absence. Operational readiness review needed.' classifies as DIAGNOSIS (highest priority) rather than READINESS because one DIAGNOSIS pattern match is sufficient. The pattern is intended for Kubernetes event lines of the form 'Warning  BackOff  21s  kubelet'.",Narrow the pattern to require the Kubernetes event timestamp format: r'\bWarning\s+\w+\s+\d' to retain detection of legitimate Kubernetes events while avoiding false positives on advisory English prose.
Edge Cases,minor,src/readiness_engine/classifier.py,259,"classify(None) and classify_risk(None) do not raise TypeError. classify(None) returns None via coincidental short-circuit ('not None' is True). classify_risk(None) returns LOW via 'if not findings' guard. The type annotations declare str and list[Finding] respectively but no runtime guard enforces this. The protection is accidental and not guaranteed across Python versions.",Add explicit isinstance guards that raise TypeError on non-str input for classify() and non-list input for classify_risk() consistent with the pattern already used in parser.py.
Edge Cases,nit,src/readiness_engine/report.py,138,"AuditItem.status defaults to AuditStatus.FAIL. An AuditItem constructed with only number and name has status=FAIL and priority=HIGH by default making it appear as a production blocker. This could produce incorrect report summaries if a builder forgets to set the status explicitly.",Consider making status a required field (remove the default) to force explicit assignment at construction time; or change the default to NOT_APPLICABLE as a safer neutral value.
Security / Tool Surface,nit,src/readiness_engine/classifier.py,149,All 46 regex patterns compiled at module level were reviewed for ReDoS vulnerability. No nested quantifiers or catastrophic backtracking patterns were found. All patterns use linear-complexity matching. No write commands subprocess calls or I/O are present anywhere in the implementation. Read-only constraint is fully honoured.,No action required. Recorded for completeness.
Over Engineering,nit,src/readiness_engine/classifier.py,262,"classify() builds a scores dict to count all pattern matches before selecting a winner. The count is never used in the selection logic (only membership is tested via 'in scores'). The docstring acknowledges the tie-breaker code is dead: 'which cannot happen in the current table'. The two-pass approach adds complexity without capability.",Either remove the two-pass approach and inline a single-pass loop that returns the first matching type; or add a test that verifies tie-breaker behaviour so the dead-code comment is removed.
Over Engineering,nit,src/readiness_engine/models.py,380,"models.ReadinessReport.critical_drift_active anticipates a future integration path (READINESS integration with drift risk level) that has no current implementation. Components 2-5 are unimplemented. The field is defined in the domain model layer but represents an integration concern that belongs in the output formatter layer.",No immediate action required. Review the field placement when Components 2-5 are implemented to determine whether critical_drift_active belongs in the domain model or the output formatter.
